epoch,train_loss,train_task,val_auc_roc,val_auc_pr,val_f1,val_acc,lr
1,0.5083924041074865,0.19762402509941773,0.5436791890280263,0.10202976864554729,0.4314187836455043,0.5246478873239436,0.001
2,0.456622195594451,0.17575719251352198,0.627757901013715,0.15929140835231947,0.5163107559282065,0.6795774647887324,0.0009990232305719944
3,0.454370136208394,0.1755336492377169,0.648330351818724,0.24843820836268618,0.5868035075301797,0.8697183098591549,0.0009960967771506667
4,0.4443085307584089,0.16562124133548317,0.5596302921884316,0.11564141955906736,0.08387096774193549,0.09154929577464789,0.000991232189110701
5,0.455736402203055,0.17625838452402284,0.6538461538461539,0.24981106659256525,0.6058292852185982,0.8873239436619719,0.0009844486647586723
6,0.4403452020795906,0.16541986255084767,0.6481812760882528,0.2538405326717102,0.5734967261368414,0.9119718309859155,0.0009757729755661011
7,0.4773801784305012,0.19766837292734316,0.6156827668455576,0.16645785092260668,0.3628313884795624,0.40492957746478875,0.0009652393605146844
8,0.43308626619331975,0.15979460254311562,0.6587656529516995,0.2177018419124519,0.45363932439597066,0.5528169014084507,0.0009528893909706797
9,0.4288303746896632,0.15069264304988525,0.658020274299344,0.15681598918382103,0.18305807667509794,0.18309859154929578,0.0009387718066217125
10,0.4109952570322682,0.13671593505012639,0.6341681574239714,0.12970502222244223,0.5117306318935647,0.7711267605633803,0.0009229423231234975
11,0.4161497950553894,0.1401723556987503,0.6845557543231962,0.17066909633900545,0.48562878966847783,0.5950704225352113,0.000905463412215599
12,0.41968276833786683,0.14270091495093176,0.6932021466905188,0.21300686550036477,0.5833204633204634,0.8661971830985915,0.0008864040551740157
13,0.4181327925008886,0.14622482854653807,0.6964818127608825,0.2695491671926901,0.5468289384719405,0.7922535211267606,0.0008658394705735987
14,0.40032096470103545,0.12707183466238134,0.686046511627907,0.2816060771401871,0.440499285660576,0.5387323943661971,0.0008438508174347009
15,0.39103228905621695,0.11807407011442325,0.6967799642218248,0.2895388756812326,0.4268294404064639,0.4964788732394366,0.0008205248749256015
16,0.3752233732272597,0.1069784711169846,0.6993142516398331,0.21480862927458538,0.5554561717352415,0.852112676056338,0.0007959536998847743
17,0.38042377987328696,0.10733156673171941,0.6912641621943948,0.21393258453902628,0.5482023544384347,0.7007042253521126,0.0007702342635146033
18,0.3676431704969967,0.10025986185406938,0.6626416219439476,0.182274328684205,0.4934929632180255,0.6443661971830986,0.000743468068680349
19,0.3542109035393771,0.08478220300201107,0.6829159212880143,0.22299722692235446,0.5341117437035607,0.7605633802816901,0.000715760749324711
20,0.34139999352833805,0.07503426666645442,0.6973762671437089,0.26222362882132894,0.5708743414873199,0.8697183098591549,0.0006872216535789157
21,0.33953047850552726,0.07672004500294433,0.6932021466905188,0.2978901419464105,0.587311713627503,0.8556338028169014,0.000657963412215599
22,0.3630114136373295,0.09580759910921402,0.6958855098389982,0.2546821455563113,0.5497910361723591,0.8450704225352113,0.000628101494146603
23,0.31798221674912114,0.057676728157436144,0.6884317233154442,0.18689515918100202,0.5534879713984191,0.7429577464788732,0.0005977537507199338
24,0.3387732852031203,0.07423412195845124,0.6774001192605843,0.2070706081872959,0.537124230351322,0.8098591549295775,0.0005670399506143307
25,0.3280511121539509,0.06311457378871958,0.7002087060226595,0.24797479429766356,0.5662550801170045,0.7922535211267606,0.0005360813071670102
26,0.3053777879651855,0.04670760413522229,0.706917113893858,0.19343264181184988,0.5529319165682802,0.7746478873239436,0.000505
27,0.28147917339468703,0.02795236004406915,0.7040846750149076,0.2647663468962774,0.6014715363901847,0.8697183098591549,0.0004739186928329899
28,0.2903775279136265,0.03682679398094907,0.718097793679189,0.26489017669848625,0.5948445493900039,0.795774647887324,0.0004429600493856695
29,0.2786130734226283,0.024423324104110876,0.7045319022063209,0.2999941802665176,0.5744397455962172,0.8415492957746479,0.0004122462492800663
30,0.267412307946121,0.016783228168017503,0.7122838401908169,0.2673890225581753,0.5266666666666667,0.7253521126760564,0.00038189850585339686
31,0.26866692874361486,0.015357208308106399,0.6836612999403697,0.20827324079069381,0.5766249254621347,0.8591549295774648,0.0003520365877844012
32,0.2764033731073141,0.023536328381443556,0.6982707215265355,0.30824323333942366,0.5773809523809523,0.8309859154929577,0.00032277834642108455
33,0.260409243624,0.009026433601427604,0.6999105545617174,0.2609416037518154,0.5696435225437834,0.7852112676056338,0.0002942392506752891
34,0.2515062850297374,0.003621439068571336,0.697227191413238,0.25551384853035625,0.6272965879265092,0.8591549295774648,0.0002665319313196509
35,0.25351180311511545,0.0027769471856599385,0.6996124031007752,0.3121430610465541,0.5990588235294118,0.8309859154929577,0.00023976573648539653
36,0.25099017514902,0.001913200002364005,0.6985688729874776,0.26886585887212705,0.6272965879265092,0.8591549295774648,0.00021404630011522585
37,0.25029633763958425,0.0012349609413671286,0.699165175909362,0.29345690465385565,0.6091145435081817,0.8415492957746479,0.00018947512507439858
38,0.24969278100658865,0.0007750330691765959,0.6984197972570065,0.2836225455546659,0.6272965879265092,0.8591549295774648,0.00016614918256529907
39,0.25492781455464225,0.008713574383604924,0.7054263565891473,0.301102800083144,0.5960170697012802,0.8169014084507042,0.0001441605294264014
40,0.2467678074231919,0.000574310970419664,0.7008050089445438,0.29242628978542284,0.631181112850055,0.8626760563380281,0.00012359594482598438
41,0.24972666537060456,0.0004942904051190186,0.6997614788312463,0.2624295868240217,0.6074428495481127,0.8626760563380281,0.00010453658778440107
42,0.2571558505296707,0.004826804054613711,0.703190220632081,0.2842642356041301,0.6002334603632369,0.8556338028169014,8.705767687650265e-05
43,0.24666293754297144,0.0004153522072823869,0.7025939177101967,0.2863468616624317,0.6037946428571428,0.8591549295774648,7.122819337828752e-05
