sample_id,n_tls,mean_score,median_score,sd_score,pct_tolero,cancer_type
NYU_LIHC1,9,0.663420557975769,0.7492772340774536,0.2393230906586348,0.7777777777777778,MULTICANCER
NYU_OVCA1,10,0.16661501529160888,0.04625939205288887,0.22519350863364904,0.1,MULTICANCER
NYU_UCEC3,1,0.0506521612405777,0.0506521612405777,,0.0,MULTICANCER
NYU_BRCA2,3,0.03064909763634205,0.02266160026192665,0.01720632346927836,0.0,MULTICANCER
NYU_GIST1,3,0.021430162092049915,0.02127433754503727,0.0114833493071563,0.0,MULTICANCER
NYU_BRCA0,29,0.0081833876350434,0.00477744173258543,0.009467453004521025,0.0,MULTICANCER
