sample_id,n_tls,mean_score,median_score,sd_score,pct_tolero,cancer_type
NYU_LIHC1,20,0.6082332953810692,0.6759789884090424,0.24899218133872067,0.6,MULTICANCER_relaxed
NYU_OVCA1,31,0.23198859359619778,0.03257444500923157,0.345876668396532,0.22580645161290322,MULTICANCER_relaxed
NYU_UCEC3,6,0.04560176205510894,0.029752666130661964,0.04754965948565724,0.0,MULTICANCER_relaxed
NYU_BRCA2,6,0.024832250472779076,0.02353336662054062,0.014955994223659645,0.0,MULTICANCER_relaxed
NYU_GIST1,7,0.016445797751657665,0.00645765895023942,0.022143712843572964,0.0,MULTICANCER_relaxed
NYU_GIST2,1,0.009877564385533333,0.009877564385533333,,0.0,MULTICANCER_relaxed
NYU_BRCA0,16,0.006780628391368282,0.0009635170863475651,0.00977733255984897,0.0,MULTICANCER_relaxed
