metric,mean,std,n_folds
auc_roc,0.5072608184789958,0.11983272698457395,5
auc_pr,0.19246344861305048,0.1162281725823694,5
tol_recall,0.09533898305084745,0.16241863143026236,5
tol_precision,0.07264150943396226,0.1106028980994428,5
tol_f1,0.08142857142857143,0.13069672013123063,5
f1_macro,0.46503499024959866,0.05548273524580727,5
accuracy,0.7452919485089993,0.07095245780342979,5
