variable,HR,CI_lo,CI_hi,p
bulk_tls_score,0.8274031606226567,0.5757107472263338,1.189131857459005,0.30590057359733297
mean_immuno_z,1.3004982628055566,1.042983971415529,1.6215932151525383,0.019607290882394643
mean_tolero_z,1.2217350041156492,0.9698670265382625,1.5390114102642694,0.08909036879330098
cxcl13_z,1.375551913095986,1.1927126009153282,1.5864199507659529,1.1773728265631925e-05
