gene,rho,p,group
HAVCR2,0.17964114740838782,0.0,exhaustion
TIGIT,0.21745622063768674,0.0,exhaustion
TOX,0.24476077297583043,0.0,exhaustion
LAG3,0.2908824014002279,0.0,exhaustion
CXCR5,0.03861197179062041,2.6910482641355654e-23,Tfh
ICOS,0.1164649188552817,7.887313036970908e-199,Tfh
PDCD1,0.18501686654525143,0.0,Tfh
